Points,3000m,3000m sh,2 Miles,2 Miles sh,5000m,5000m sh,10000m,600m,600m sh,800m,800m sh,1000m,1000m sh,1500m,1500m sh,Mile,Mile sh,2000m,2000m sh,2000m SC,3000m SC
101,12:08.67,12:09.83,13:04.93,13:08.64,20:49.32,20:53.37,45:10.96,1:53.31,1:54.90,2:39.41,2:41.38,3:27.51,3:30.22,5:35.16,5:36.96,6:01.35,6:02.68,7:39.94,7:41.14,9:20.63,14:27.02
102,12:08.12,12:09.29,13:04.34,13:08.05,20:48.38,20:52.45,45:08.80,1:53.23,1:54.82,2:39.30,2:41.26,3:27.36,3:30.07,5:34.91,5:36.71,6:01.09,6:02.42,7:39.61,7:40.81,9:20.14,14:26.26
103,12:07.58,12:08.74,13:03.75,13:07.47,20:47.44,20:51.53,45:06.64,1:53.15,1:54.74,2:39.19,2:41.15,3:27.21,3:29.92,5:34.66,5:36.47,6:00.82,6:02.16,7:39.27,7:40.49,9:19.65,14:25.51
104,12:07.03,12:08.21,13:03.17,13:06.89,20:46.51,20:50.62,45:04.49,1:53.07,1:54.67,2:39.08,2:41.04,3:27.06,3:29.78,5:34.42,5:36.23,6:00.56,6:01.91,7:38.94,7:40.16,9:19.17,14:24.76
105,12:06.49,12:07.67,13:02.58,13:06.32,20:45.58,20:49.71,45:02.35,1:53.00,1:54.59,2:38.97,2:40.93,3:26.92,3:29.63,5:34.18,5:36.00,6:00.30,6:01.65,7:38.61,7:39.83,9:18.68,14:24.02
106,12:05.95,12:07.14,13:02.00,13:05.74,20:44.66,20:48.81,45:00.23,1:52.92,1:54.51,2:38.86,2:40.82,3:26.77,3:29.49,5:33.94,5:35.76,6:00.04,6:01.40,7:38.28,7:39.51,9:18.20,14:23.28
107,12:05.41,12:06.60,13:01.42,13:05.17,20:43.74,20:47.91,44:58.11,1:52.84,1:54.43,2:38.75,2:40.71,3:26.63,3:29.35,5:33.70,5:35.52,5:59.78,6:01.15,7:37.95,7:39.19,9:17.72,14:22.54
108,12:04.88,12:06.08,13:00.85,13:04.61,20:42.82,20:47.01,44:56.01,1:52.76,1:54.35,2:38.64,2:40.60,3:26.48,3:29.20,5:33.46,5:35.29,5:59.52,6:00.89,7:37.63,7:38.87,9:17.25,14:21.81
109,12:04.35,12:05.55,13:00.28,13:04.04,20:41.91,20:46.12,44:53.91,1:52.68,1:54.28,2:38.53,2:40.50,3:26.34,3:29.06,5:33.22,5:35.05,5:59.27,6:00.64,7:37.30,7:38.55,9:16.77,14:21.08
110,12:03.82,12:05.03,12:59.71,13:03.48,20:41.01,20:45.24,44:51.82,1:52.61,1:54.20,2:38.42,2:40.39,3:26.20,3:28.92,5:32.98,5:34.82,5:59.01,6:00.40,7:36.98,7:38.23,9:16.30,14:20.35
111,12:03.29,12:04.50,12:59.14,13:02.92,20:40.10,20:44.35,44:49.74,1:52.53,1:54.12,2:38.32,2:40.28,3:26.06,3:28.78,5:32.75,5:34.59,5:58.76,6:00.15,7:36.65,7:37.91,9:15.83,14:19.63
112,12:02.77,12:03.99,12:58.57,13:02.36,20:39.20,20:43.47,44:47.67,1:52.45,1:54.05,2:38.21,2:40.18,3:25.91,3:28.64,5:32.51,5:34.36,5:58.51,5:59.90,7:36.33,7:37.60,9:15.36,14:18.91
113,12:02.25,12:03.47,12:58.01,13:01.80,20:38.31,20:42.60,44:45.61,1:52.38,1:53.97,2:38.11,2:40.07,3:25.77,3:28.50,5:32.28,5:34.13,5:58.26,5:59.66,7:36.02,7:37.28,9:14.90,14:18.19
114,12:01.73,12:02.95,12:57.45,13:01.25,20:37.42,20:41.73,44:43.56,1:52.30,1:53.90,2:38.00,2:39.96,3:25.63,3:28.36,5:32.04,5:33.90,5:58.00,5:59.41,7:35.70,7:36.97,9:14.43,14:17.47
115,12:01.21,12:02.44,12:56.89,13:00.70,20:36.53,20:40.86,44:41.52,1:52.23,1:53.82,2:37.90,2:39.86,3:25.49,3:28.22,5:31.81,5:33.67,5:57.76,5:59.17,7:35.38,7:36.66,9:13.97,14:16.76
116,12:00.69,12:01.93,12:56.34,13:00.15,20:35.65,20:39.99,44:39.49,1:52.15,1:53.75,2:37.79,2:39.75,3:25.36,3:28.08,5:31.58,5:33.44,5:57.51,5:58.93,7:35.07,7:36.35,9:13.51,14:16.05
117,12:00.18,12:01.42,12:55.79,12:59.61,20:34.77,20:39.13,44:37.47,1:52.08,1:53.67,2:37.69,2:39.65,3:25.22,3:27.94,5:31.35,5:33.22,5:57.26,5:58.69,7:34.75,7:36.04,9:13.05,14:15.35
118,11:59.67,12:00.92,12:55.24,12:59.06,20:33.90,20:38.28,44:35.45,1:52.00,1:53.60,2:37.58,2:39.55,3:25.08,3:27.81,5:31.12,5:32.99,5:57.01,5:58.45,7:34.44,7:35.74,9:12.60,14:14.65
119,11:59.16,12:00.41,12:54.69,12:58.52,20:33.03,20:37.43,44:33.45,1:51.93,1:53.53,2:37.48,2:39.44,3:24.94,3:27.67,5:30.90,5:32.77,5:56.77,5:58.21,7:34.13,7:35.43,9:12.14,14:13.95
120,11:58.65,11:59.91,12:54.14,12:57.99,20:32.16,20:36.58,44:31.45,1:51.86,1:53.45,2:37.38,2:39.34,3:24.81,3:27.54,5:30.67,5:32.54,5:56.52,5:57.97,7:33.82,7:35.13,9:11.69,14:13.25
121,11:58.15,11:59.41,12:53.60,12:57.45,20:31.29,20:35.73,44:29.46,1:51.78,1:53.38,2:37.27,2:39.24,3:24.67,3:27.40,5:30.44,5:32.32,5:56.28,5:57.73,7:33.51,7:34.82,9:11.24,14:12.56
122,11:57.65,11:58.92,12:53.06,12:56.91,20:30.43,20:34.89,44:27.48,1:51.71,1:53.31,2:37.17,2:39.13,3:24.53,3:27.27,5:30.22,5:32.10,5:56.04,5:57.50,7:33.20,7:34.52,9:10.79,14:11.87
123,11:57.15,11:58.42,12:52.52,12:56.38,20:29.58,20:34.05,44:25.50,1:51.64,1:53.24,2:37.07,2:39.03,3:24.40,3:27.13,5:29.99,5:31.88,5:55.80,5:57.26,7:32.90,7:34.22,9:10.34,14:11.18
124,11:56.65,11:57.93,12:51.98,12:55.85,20:28.72,20:33.21,44:23.54,1:51.56,1:53.16,2:36.97,2:38.93,3:24.27,3:27.00,5:29.77,5:31.66,5:55.56,5:57.03,7:32.59,7:33.92,9:09.90,14:10.49
125,11:56.15,11:57.44,12:51.45,12:55.32,20:27.87,20:32.38,44:21.58,1:51.49,1:53.09,2:36.87,2:38.83,3:24.13,3:26.87,5:29.55,5:31.44,5:55.32,5:56.79,7:32.29,7:33.62,9:09.46,14:09.81
126,11:55.66,11:56.95,12:50.92,12:54.80,20:27.02,20:31.55,44:19.63,1:51.42,1:53.02,2:36.77,2:38.73,3:24.00,3:26.73,5:29.33,5:31.22,5:55.08,5:56.56,7:31.99,7:33.33,9:09.01,14:09.13
127,11:55.16,11:56.46,12:50.39,12:54.28,20:26.18,20:30.73,44:17.69,1:51.35,1:52.95,2:36.67,2:38.63,3:23.87,3:26.60,5:29.11,5:31.01,5:54.84,5:56.33,7:31.69,7:33.03,9:08.57,14:08.46
128,11:54.67,11:55.98,12:49.86,12:53.75,20:25.34,20:29.90,44:15.75,1:51.28,1:52.88,2:36.57,2:38.53,3:23.73,3:26.47,5:28.89,5:30.79,5:54.61,5:56.10,7:31.39,7:32.74,9:08.14,14:07.78
129,11:54.18,11:55.49,12:49.33,12:53.23,20:24.50,20:29.09,44:13.83,1:51.21,1:52.81,2:36.47,2:38.43,3:23.60,3:26.34,5:28.67,5:30.57,5:54.37,5:55.87,7:31.09,7:32.44,9:07.70,14:07.11
130,11:53.70,11:55.01,12:48.81,12:52.72,20:23.67,20:28.27,44:11.91,1:51.14,1:52.74,2:36.37,2:38.33,3:23.47,3:26.21,5:28.45,5:30.36,5:54.14,5:55.64,7:30.79,7:32.15,9:07.27,14:06.44
131,11:53.21,11:54.53,12:48.29,12:52.20,20:22.84,20:27.46,44:09.99,1:51.07,1:52.67,2:36.27,2:38.23,3:23.34,3:26.08,5:28.23,5:30.15,5:53.90,5:55.41,7:30.49,7:31.86,9:06.83,14:05.78
132,11:52.73,11:54.05,12:47.77,12:51.69,20:22.01,20:26.65,44:08.09,1:51.00,1:52.60,2:36.18,2:38.14,3:23.21,3:25.95,5:28.02,5:29.93,5:53.67,5:55.19,7:30.20,7:31.57,9:06.40,14:05.11
133,11:52.25,11:53.58,12:47.25,12:51.18,20:21.19,20:25.84,44:06.19,1:50.93,1:52.53,2:36.08,2:38.04,3:23.08,3:25.82,5:27.80,5:29.72,5:53.44,5:54.96,7:29.90,7:31.28,9:05.97,14:04.45
134,11:51.77,11:53.10,12:46.73,12:50.67,20:20.37,20:25.04,44:04.30,1:50.86,1:52.46,2:35.98,2:37.94,3:22.95,3:25.70,5:27.59,5:29.51,5:53.21,5:54.73,7:29.61,7:30.99,9:05.55,14:03.79
135,11:51.29,11:52.63,12:46.22,12:50.16,20:19.55,20:24.24,44:02.42,1:50.79,1:52.39,2:35.88,2:37.84,3:22.82,3:25.57,5:27.37,5:29.30,5:52.98,5:54.51,7:29.32,7:30.71,9:05.12,14:03.14
136,11:50.82,11:52.16,12:45.71,12:49.65,20:18.73,20:23.44,44:00.54,1:50.72,1:52.32,2:35.79,2:37.75,3:22.69,3:25.44,5:27.16,5:29.09,5:52.75,5:54.29,7:29.03,7:30.42,9:04.69,14:02.48
137,11:50.34,11:51.69,12:45.20,12:49.15,20:17.92,20:22.64,43:58.67,1:50.65,1:52.25,2:35.69,2:37.65,3:22.57,3:25.31,5:26.95,5:28.88,5:52.52,5:54.06,7:28.74,7:30.14,9:04.27,14:01.83
138,11:49.87,11:51.22,12:44.69,12:48.65,20:17.11,20:21.85,43:56.81,1:50.58,1:52.18,2:35.59,2:37.55,3:22.44,3:25.19,5:26.74,5:28.67,5:52.29,5:53.84,7:28.45,7:29.85,9:03.85,14:01.18
139,11:49.40,11:50.76,12:44.18,12:48.15,20:16.31,20:21.06,43:54.95,1:50.51,1:52.12,2:35.50,2:37.46,3:22.31,3:25.06,5:26.53,5:28.47,5:52.07,5:53.62,7:28.16,7:29.57,9:03.43,14:00.54
140,11:48.93,11:50.29,12:43.68,12:47.65,20:15.50,20:20.28,43:53.10,1:50.44,1:52.05,2:35.40,2:37.36,3:22.19,3:24.94,5:26.32,5:28.26,5:51.84,5:53.40,7:27.88,7:29.29,9:03.01,13:59.89
141,11:48.46,11:49.83,12:43.17,12:47.15,20:14.70,20:19.49,43:51.26,1:50.38,1:51.98,2:35.31,2:37.27,3:22.06,3:24.81,5:26.11,5:28.05,5:51.61,5:53.18,7:27.59,7:29.01,9:02.59,13:59.25
142,11:48.00,11:49.37,12:42.67,12:46.66,20:13.91,20:18.71,43:49.43,1:50.31,1:51.91,2:35.21,2:37.17,3:21.94,3:24.69,5:25.90,5:27.85,5:51.39,5:52.96,7:27.31,7:28.73,9:02.18,13:58.61
143,11:47.53,11:48.91,12:42.17,12:46.16,20:13.11,20:17.94,43:47.60,1:50.24,1:51.85,2:35.12,2:37.08,3:21.81,3:24.56,5:25.69,5:27.64,5:51.17,5:52.74,7:27.02,7:28.45,9:01.76,13:57.97
144,11:47.07,11:48.45,12:41.67,12:45.67,20:12.32,20:17.16,43:45.77,1:50.17,1:51.78,2:35.03,2:36.99,3:21.69,3:24.44,5:25.48,5:27.44,5:50.94,5:52.53,7:26.74,7:28.17,9:01.35,13:57.34
145,11:46.61,11:48.00,12:41.18,12:45.18,20:11.53,20:16.39,43:43.96,1:50.11,1:51.71,2:34.93,2:36.89,3:21.56,3:24.32,5:25.28,5:27.24,5:50.72,5:52.31,7:26.46,7:27.90,9:00.94,13:56.70
146,11:46.15,11:47.54,12:40.68,12:44.69,20:10.74,20:15.62,43:42.14,1:50.04,1:51.65,2:34.84,2:36.80,3:21.44,3:24.19,5:25.07,5:27.04,5:50.50,5:52.09,7:26.18,7:27.62,9:00.53,13:56.07
147,11:45.69,11:47.09,12:40.19,12:44.21,20:09.96,20:14.85,43:40.34,1:49.97,1:51.58,2:34.75,2:36.71,3:21.31,3:24.07,5:24.87,5:26.83,5:50.28,5:51.88,7:25.90,7:27.34,9:00.12,13:55.44
148,11:45.24,11:46.64,12:39.70,12:43.72,20:09.18,20:14.09,43:38.54,1:49.91,1:51.51,2:34.66,2:36.61,3:21.19,3:23.95,5:24.66,5:26.63,5:50.06,5:51.66,7:25.62,7:27.07,8:59.72,13:54.82
149,11:44.78,11:46.19,12:39.21,12:43.24,20:08.40,20:13.32,43:36.75,1:49.84,1:51.45,2:34.56,2:36.52,3:21.07,3:23.83,5:24.46,5:26.43,5:49.84,5:51.45,7:25.34,7:26.80,8:59.31,13:54.19
150,11:44.33,11:45.74,12:38.72,12:42.76,20:07.63,20:12.57,43:34.96,1:49.77,1:51.38,2:34.47,2:36.43,3:20.95,3:23.71,5:24.26,5:26.23,5:49.62,5:51.24,7:25.06,7:26.53,8:58.91,13:53.57
151,11:43.88,11:45.29,12:38.24,12:42.28,20:06.85,20:11.81,43:33.18,1:49.71,1:51.32,2:34.38,2:36.34,3:20.83,3:23.58,5:24.05,5:26.03,5:49.41,5:51.03,7:24.79,7:26.26,8:58.50,13:52.95
152,11:43.43,11:44.85,12:37.75,12:41.80,20:06.08,20:11.05,43:31.41,1:49.64,1:51.25,2:34.29,2:36.25,3:20.70,3:23.46,5:23.85,5:25.84,5:49.19,5:50.81,7:24.51,7:25.98,8:58.10,13:52.33
153,11:42.98,11:44.40,12:37.27,12:41.32,20:05.31,20:10.30,43:29.64,1:49.58,1:51.19,2:34.20,2:36.15,3:20.58,3:23.34,5:23.65,5:25.64,5:48.97,5:50.60,7:24.24,7:25.72,8:57.70,13:51.71
154,11:42.53,11:43.96,12:36.79,12:40.85,20:04.55,20:09.55,43:27.88,1:49.51,1:51.12,2:34.11,2:36.06,3:20.46,3:23.22,5:23.45,5:25.44,5:48.76,5:50.39,7:23.97,7:25.45,8:57.30,13:51.10
155,11:42.09,11:43.52,12:36.31,12:40.37,20:03.78,20:08.81,43:26.12,1:49.45,1:51.06,2:34.02,2:35.97,3:20.34,3:23.11,5:23.25,5:25.25,5:48.54,5:50.18,7:23.69,7:25.18,8:56.90,13:50.49
156,11:41.64,11:43.08,12:35.83,12:39.90,20:03.02,20:08.06,43:24.37,1:49.38,1:51.00,2:33.93,2:35.88,3:20.22,3:22.99,5:23.05,5:25.05,5:48.33,5:49.97,7:23.42,7:24.91,8:56.51,13:49.88
157,11:41.20,11:42.64,12:35.35,12:39.43,20:02.27,20:07.32,43:22.62,1:49.32,1:50.93,2:33.84,2:35.79,3:20.10,3:22.87,5:22.86,5:24.86,5:48.11,5:49.77,7:23.15,7:24.65,8:56.11,13:49.27
158,11:40.76,11:42.21,12:34.88,12:38.96,20:01.51,20:06.58,43:20.88,1:49.26,1:50.87,2:33.75,2:35.70,3:19.99,3:22.75,5:22.66,5:24.66,5:47.90,5:49.56,7:22.88,7:24.38,8:55.72,13:48.66
159,11:40.32,11:41.77,12:34.40,12:38.49,20:00.76,20:05.84,43:19.15,1:49.19,1:50.80,2:33.66,2:35.61,3:19.87,3:22.63,5:22.46,5:24.47,5:47.69,5:49.35,7:22.61,7:24.12,8:55.33,13:48.06
160,11:39.88,11:41.34,12:33.93,12:38.03,20:00.00,20:05.11,43:17.42,1:49.13,1:50.74,2:33.57,2:35.53,3:19.75,3:22.52,5:22.26,5:24.27,5:47.48,5:49.15,7:22.34,7:23.85,8:54.93,13:47.46
161,11:39.44,11:40.90,12:33.46,12:37.56,19:59.26,20:04.37,43:15.69,1:49.06,1:50.68,2:33.48,2:35.44,3:19.63,3:22.40,5:22.07,5:24.08,5:47.27,5:48.94,7:22.08,7:23.59,8:54.54,13:46.86
162,11:39.01,11:40.47,12:32.99,12:37.10,19:58.51,20:03.64,43:13.97,1:49.00,1:50.61,2:33.39,2:35.35,3:19.51,3:22.28,5:21.87,5:23.89,5:47.06,5:48.74,7:21.81,7:23.33,8:54.15,13:46.26
163,11:38.57,11:40.04,12:32.52,12:36.64,19:57.77,20:02.92,43:12.26,1:48.94,1:50.55,2:33.30,2:35.26,3:19.40,3:22.17,5:21.68,5:23.70,5:46.85,5:48.53,7:21.54,7:23.07,8:53.77,13:45.66
164,11:38.14,11:39.61,12:32.06,12:36.18,19:57.02,20:02.19,43:10.55,1:48.87,1:50.49,2:33.22,2:35.17,3:19.28,3:22.05,5:21.49,5:23.51,5:46.64,5:48.33,7:21.28,7:22.81,8:53.38,13:45.06
165,11:37.71,11:39.19,12:31.59,12:35.72,19:56.28,20:01.47,43:08.85,1:48.81,1:50.43,2:33.13,2:35.08,3:19.16,3:21.93,5:21.29,5:23.32,5:46.43,5:48.13,7:21.02,7:22.55,8:52.99,13:44.47
166,11:37.28,11:38.76,12:31.13,12:35.26,19:55.55,20:00.74,43:07.15,1:48.75,1:50.36,2:33.04,2:35.00,3:19.05,3:21.82,5:21.10,5:23.13,5:46.22,5:47.92,7:20.75,7:22.29,8:52.61,13:43.88
167,11:36.85,11:38.34,12:30.67,12:34.80,19:54.81,20:00.02,43:05.46,1:48.69,1:50.30,2:32.95,2:34.91,3:18.93,3:21.70,5:20.91,5:22.94,5:46.02,5:47.72,7:20.49,7:22.03,8:52.23,13:43.29
168,11:36.42,11:37.91,12:30.21,12:34.35,19:54.08,19:59.31,43:03.77,1:48.62,1:50.24,2:32.87,2:34.82,3:18.82,3:21.59,5:20.72,5:22.75,5:45.81,5:47.52,7:20.23,7:21.78,8:51.85,13:42.70
169,11:35.99,11:37.49,12:29.75,12:33.89,19:53.35,19:58.59,43:02.09,1:48.56,1:50.18,2:32.78,2:34.74,3:18.70,3:21.48,5:20.52,5:22.56,5:45.61,5:47.32,7:19.97,7:21.52,8:51.46,13:42.11
170,11:35.57,11:37.07,12:29.29,12:33.44,19:52.62,19:57.88,43:00.41,1:48.50,1:50.12,2:32.69,2:34.65,3:18.59,3:21.36,5:20.33,5:22.37,5:45.40,5:47.12,7:19.71,7:21.26,8:51.08,13:41.53
171,11:35.14,11:36.65,12:28.83,12:32.99,19:51.89,19:57.17,42:58.74,1:48.44,1:50.06,2:32.61,2:34.56,3:18.47,3:21.25,5:20.14,5:22.19,5:45.20,5:46.92,7:19.45,7:21.01,8:50.71,13:40.95
172,11:34.72,11:36.23,12:28.38,12:32.54,19:51.17,19:56.46,42:57.07,1:48.38,1:49.99,2:32.52,2:34.48,3:18.36,3:21.14,5:19.95,5:22.00,5:44.99,5:46.72,7:19.19,7:20.76,8:50.33,13:40.37
173,11:34.30,11:35.81,12:27.92,12:32.09,19:50.45,19:55.75,42:55.41,1:48.32,1:49.93,2:32.44,2:34.39,3:18.25,3:21.02,5:19.77,5:21.82,5:44.79,5:46.52,7:18.93,7:20.50,8:49.95,13:39.79
174,11:33.88,11:35.40,12:27.47,12:31.65,19:49.73,19:55.05,42:53.75,1:48.26,1:49.87,2:32.35,2:34.31,3:18.13,3:20.91,5:19.58,5:21.63,5:44.59,5:46.33,7:18.68,7:20.25,8:49.58,13:39.21
175,11:33.46,11:34.98,12:27.02,12:31.20,19:49.01,19:54.34,42:52.09,1:48.19,1:49.81,2:32.27,2:34.22,3:18.02,3:20.80,5:19.39,5:21.45,5:44.39,5:46.13,7:18.42,7:20.00,8:49.20,13:38.63
176,11:33.04,11:34.57,12:26.57,12:30.76,19:48.29,19:53.64,42:50.45,1:48.13,1:49.75,2:32.18,2:34.14,3:17.91,3:20.69,5:19.20,5:21.26,5:44.18,5:45.93,7:18.16,7:19.75,8:48.83,13:38.06
177,11:32.63,11:34.16,12:26.12,12:30.31,19:47.58,19:52.94,42:48.80,1:48.07,1:49.69,2:32.10,2:34.05,3:17.79,3:20.57,5:19.02,5:21.08,5:43.98,5:45.74,7:17.91,7:19.50,8:48.46,13:37.49
178,11:32.21,11:33.74,12:25.67,12:29.87,19:46.86,19:52.25,42:47.16,1:48.01,1:49.63,2:32.01,2:33.97,3:17.68,3:20.46,5:18.83,5:20.89,5:43.78,5:45.54,7:17.65,7:19.25,8:48.09,13:36.91
179,11:31.80,11:33.33,12:25.23,12:29.43,19:46.15,19:51.55,42:45.53,1:47.95,1:49.57,2:31.93,2:33.88,3:17.57,3:20.35,5:18.64,5:20.71,5:43.58,5:45.35,7:17.40,7:19.00,8:47.72,13:36.34
180,11:31.38,11:32.93,12:24.78,12:28.99,19:45.45,19:50.86,42:43.90,1:47.89,1:49.51,2:31.84,2:33.80,3:17.46,3:20.24,5:18.46,5:20.53,5:43.38,5:45.15,7:17.15,7:18.75,8:47.35,13:35.78
181,11:30.97,11:32.52,12:24.34,12:28.55,19:44.74,19:50.17,42:42.27,1:47.83,1:49.45,2:31.76,2:33.71,3:17.35,3:20.13,5:18.28,5:20.35,5:43.18,5:44.96,7:16.90,7:18.50,8:46.98,13:35.21
182,11:30.56,11:32.11,12:23.89,12:28.12,19:44.04,19:49.48,42:40.65,1:47.77,1:49.39,2:31.68,2:33.63,3:17.24,3:20.02,5:18.09,5:20.17,5:42.99,5:44.77,7:16.65,7:18.26,8:46.61,13:34.64
183,11:30.15,11:31.71,12:23.45,12:27.68,19:43.33,19:48.79,42:39.03,1:47.71,1:49.33,2:31.59,2:33.55,3:17.13,3:19.91,5:17.91,5:19.99,5:42.79,5:44.57,7:16.39,7:18.01,8:46.25,13:34.08
184,11:29.74,11:31.30,12:23.01,12:27.24,19:42.63,19:48.11,42:37.42,1:47.65,1:49.27,2:31.51,2:33.46,3:17.02,3:19.80,5:17.72,5:19.81,5:42.59,5:44.38,7:16.14,7:17.76,8:45.88,13:33.52
185,11:29.33,11:30.90,12:22.57,12:26.81,19:41.94,19:47.42,42:35.81,1:47.59,1:49.22,2:31.43,2:33.38,3:16.91,3:19.69,5:17.54,5:19.63,5:42.40,5:44.19,7:15.90,7:17.52,8:45.52,13:32.96
186,11:28.93,11:30.49,12:22.14,12:26.38,19:41.24,19:46.74,42:34.21,1:47.54,1:49.16,2:31.35,2:33.30,3:16.80,3:19.58,5:17.36,5:19.45,5:42.20,5:44.00,7:15.65,7:17.28,8:45.16,13:32.40
187,11:28.52,11:30.09,12:21.70,12:25.95,19:40.54,19:46.06,42:32.61,1:47.48,1:49.10,2:31.26,2:33.22,3:16.69,3:19.48,5:17.18,5:19.27,5:42.00,5:43.81,7:15.40,7:17.03,8:44.79,13:31.84
188,11:28.12,11:29.69,12:21.26,12:25.52,19:39.85,19:45.38,42:31.01,1:47.42,1:49.04,2:31.18,2:33.13,3:16.58,3:19.37,5:17.00,5:19.09,5:41.81,5:43.62,7:15.15,7:16.79,8:44.43,13:31.29
189,11:27.71,11:29.29,12:20.83,12:25.09,19:39.16,19:44.71,42:29.42,1:47.36,1:48.98,2:31.10,2:33.05,3:16.47,3:19.26,5:16.82,5:18.91,5:41.62,5:43.43,7:14.90,7:16.55,8:44.07,13:30.73
190,11:27.31,11:28.90,12:20.40,12:24.66,19:38.47,19:44.03,42:27.84,1:47.30,1:48.92,2:31.02,2:32.97,3:16.36,3:19.15,5:16.64,5:18.74,5:41.42,5:43.24,7:14.66,7:16.30,8:43.71,13:30.18
191,11:26.91,11:28.50,12:19.96,12:24.23,19:37.78,19:43.36,42:26.25,1:47.24,1:48.86,2:30.94,2:32.89,3:16.25,3:19.04,5:16.46,5:18.56,5:41.23,5:43.05,7:14.41,7:16.06,8:43.35,13:29.63
192,11:26.51,11:28.10,12:19.53,12:23.81,19:37.10,19:42.69,42:24.68,1:47.18,1:48.81,2:30.86,2:32.81,3:16.15,3:18.94,5:16.28,5:18.38,5:41.03,5:42.86,7:14.17,7:15.82,8:43.00,13:29.08
193,11:26.11,11:27.71,12:19.10,12:23.38,19:36.41,19:42.02,42:23.10,1:47.13,1:48.75,2:30.77,2:32.73,3:16.04,3:18.83,5:16.10,5:18.21,5:40.84,5:42.67,7:13.93,7:15.58,8:42.64,13:28.53
194,11:25.71,11:27.31,12:18.67,12:22.96,19:35.73,19:41.35,42:21.53,1:47.07,1:48.69,2:30.69,2:32.65,3:15.93,3:18.72,5:15.92,5:18.03,5:40.65,5:42.49,7:13.68,7:15.34,8:42.29,13:27.98
195,11:25.31,11:26.92,12:18.25,12:22.54,19:35.05,19:40.69,42:19.96,1:47.01,1:48.63,2:30.61,2:32.57,3:15.82,3:18.62,5:15.74,5:17.86,5:40.46,5:42.30,7:13.44,7:15.11,8:41.93,13:27.44
196,11:24.92,11:26.53,12:17.82,12:22.12,19:34.37,19:40.02,42:18.40,1:46.95,1:48.58,2:30.53,2:32.48,3:15.72,3:18.51,5:15.57,5:17.68,5:40.27,5:42.11,7:13.20,7:14.87,8:41.58,13:26.89
197,11:24.52,11:26.14,12:17.40,12:21.70,19:33.70,19:39.36,42:16.84,1:46.90,1:48.52,2:30.45,2:32.40,3:15.61,3:18.41,5:15.39,5:17.51,5:40.08,5:41.93,7:12.96,7:14.63,8:41.23,13:26.35
198,11:24.13,11:25.75,12:16.97,12:21.28,19:33.02,19:38.70,42:15.29,1:46.84,1:48.46,2:30.37,2:32.32,3:15.51,3:18.30,5:15.21,5:17.33,5:39.89,5:41.74,7:12.71,7:14.39,8:40.87,13:25.81
199,11:23.74,11:25.36,12:16.55,12:20.86,19:32.35,19:38.04,42:13.74,1:46.78,1:48.41,2:30.29,2:32.24,3:15.40,3:18.20,5:15.04,5:17.16,5:39.70,5:41.56,7:12.47,7:14.16,8:40.52,13:25.27
200,11:23.34,11:24.97,12:16.13,12:20.44,19:31.68,19:37.38,42:12.19,1:46.72,1:48.35,2:30.21,2:32.16,3:15.29,3:18.09,5:14.86,5:16.99,5:39.51,5:41.37,7:12.23,7:13.92,8:40.17,13:24.73
201,11:22.95,11:24.58,12:15.70,12:20.03,19:31.01,19:36.73,42:10.65,1:46.67,1:48.29,2:30.13,2:32.09,3:15.19,3:17.99,5:14.69,5:16.82,5:39.32,5:41.19,7:12.00,7:13.69,8:39.82,13:24.19
202,11:22.56,11:24.20,12:15.28,12:19.61,19:30.34,19:36.07,42:09.11,1:46.61,1:48.24,2:30.05,2:32.01,3:15.08,3:17.88,5:14.51,5:16.64,5:39.13,5:41.01,7:11.76,7:13.45,8:39.48,13:23.66
203,11:22.17,11:23.81,12:14.86,12:19.20,19:29.67,19:35.42,42:07.58,1:46.55,1:48.18,2:29.98,2:31.93,3:14.98,3:17.78,5:14.34,5:16.47,5:38.95,5:40.82,7:11.52,7:13.22,8:39.13,13:23.12
204,11:21.78,11:23.43,12:14.45,12:18.79,19:29.01,19:34.77,42:06.05,1:46.50,1:48.12,2:29.90,2:31.85,3:14.87,3:17.67,5:14.16,5:16.30,5:38.76,5:40.64,7:11.28,7:12.99,8:38.78,13:22.59
205,11:21.40,11:23.04,12:14.03,12:18.37,19:28.34,19:34.12,42:04.52,1:46.44,1:48.07,2:29.82,2:31.77,3:14.77,3:17.57,5:13.99,5:16.13,5:38.57,5:40.46,7:11.04,7:12.75,8:38.44,13:22.06
206,11:21.01,11:22.66,12:13.61,12:17.96,19:27.68,19:33.47,42:02.99,1:46.38,1:48.01,2:29.74,2:31.69,3:14.67,3:17.47,5:13.82,5:15.96,5:38.39,5:40.28,7:10.81,7:12.52,8:38.09,13:21.52
207,11:20.63,11:22.28,12:13.20,12:17.55,19:27.02,19:32.83,42:01.47,1:46.33,1:47.96,2:29.66,2:31.61,3:14.56,3:17.36,5:13.64,5:15.79,5:38.20,5:40.10,7:10.57,7:12.29,8:37.75,13:20.99
208,11:20.24,11:21.90,12:12.78,12:17.15,19:26.36,19:32.18,41:59.96,1:46.27,1:47.90,2:29.58,2:31.53,3:14.46,3:17.26,5:13.47,5:15.62,5:38.01,5:39.92,7:10.34,7:12.06,8:37.40,13:20.47
