Points,3000m,3000m sh,2 Miles,2 Miles sh,5000m,5000m sh,10000m,600m,600m sh,800m,800m sh,1000m,1000m sh,1500m,1500m sh,Mile,Mile sh,2000m,2000m sh,2000m SC,3000m SC
68,12:28.65,12:29.60,13:26.44,13:29.88,21:23.54,21:26.87,46:29.76,1:56.22,1:57.79,2:43.46,2:45.43,3:32.89,3:35.56,5:44.10,5:45.76,6:10.98,6:12.07,7:52.16,7:53.14,9:38.47,14:54.47
69,12:27.98,12:28.94,13:25.72,13:29.17,21:22.39,21:25.74,46:27.12,1:56.12,1:57.69,2:43.33,2:45.30,3:32.71,3:35.38,5:43.80,5:45.46,6:10.66,6:11.75,7:51.75,7:52.74,9:37.87,14:53.56
70,12:27.32,12:28.28,13:25.01,13:28.46,21:21.26,21:24.63,46:24.50,1:56.02,1:57.60,2:43.19,2:45.16,3:32.53,3:35.20,5:43.50,5:45.17,6:10.34,6:11.44,7:51.34,7:52.34,9:37.27,14:52.64
71,12:26.66,12:27.63,13:24.30,13:27.76,21:20.13,21:23.53,46:21.90,1:55.93,1:57.50,2:43.06,2:45.03,3:32.35,3:35.03,5:43.21,5:44.88,6:10.02,6:11.13,7:50.94,7:51.95,9:36.69,14:51.74
72,12:26.00,12:26.98,13:23.59,13:27.06,21:19.00,21:22.43,46:19.31,1:55.83,1:57.41,2:42.93,2:44.90,3:32.17,3:34.85,5:42.91,5:44.59,6:09.70,6:10.82,7:50.54,7:51.55,9:36.10,14:50.84
73,12:25.35,12:26.34,13:22.89,13:26.37,21:17.89,21:21.34,46:16.75,1:55.74,1:57.31,2:42.79,2:44.76,3:32.00,3:34.68,5:42.62,5:44.30,6:09.39,6:10.52,7:50.14,7:51.16,9:35.52,14:49.94
74,12:24.71,12:25.70,13:22.20,13:25.69,21:16.78,21:20.25,46:14.20,1:55.64,1:57.22,2:42.66,2:44.63,3:31.82,3:34.51,5:42.33,5:44.02,6:09.08,6:10.21,7:49.75,7:50.77,9:34.94,14:49.05
75,12:24.07,12:25.06,13:21.51,13:25.00,21:15.68,21:19.18,46:11.67,1:55.55,1:57.13,2:42.53,2:44.50,3:31.65,3:34.33,5:42.05,5:43.74,6:08.77,6:09.91,7:49.35,7:50.39,9:34.37,14:48.17
76,12:23.43,12:24.43,13:20.82,13:24.33,21:14.59,21:18.11,46:09.16,1:55.46,1:57.04,2:42.40,2:44.37,3:31.48,3:34.16,5:41.76,5:43.46,6:08.46,6:09.61,7:48.96,7:50.01,9:33.80,14:47.30
77,12:22.79,12:23.80,13:20.14,13:23.65,21:13.51,21:17.05,46:06.66,1:55.37,1:56.94,2:42.27,2:44.24,3:31.31,3:33.99,5:41.48,5:43.18,6:08.16,6:09.31,7:48.58,7:49.62,9:33.24,14:46.43
78,12:22.17,12:23.18,13:19.46,13:22.98,21:12.43,21:15.99,46:04.18,1:55.27,1:56.85,2:42.15,2:44.12,3:31.14,3:33.83,5:41.20,5:42.90,6:07.85,6:09.02,7:48.19,7:49.25,9:32.68,14:45.56
79,12:21.54,12:22.56,13:18.79,13:22.32,21:11.36,21:14.95,46:01.71,1:55.18,1:56.76,2:42.02,2:43.99,3:30.97,3:33.66,5:40.92,5:42.63,6:07.55,6:08.72,7:47.81,7:48.87,9:32.12,14:44.70
80,12:20.92,12:21.95,13:18.12,13:21.66,21:10.30,21:13.90,45:59.26,1:55.09,1:56.67,2:41.89,2:43.86,3:30.80,3:33.49,5:40.64,5:42.35,6:07.25,6:08.43,7:47.43,7:48.50,9:31.56,14:43.85
